DATE	IC4WSA	ICNSA	ICSA
1982-05-15	583250	486500	585000
1982-05-22	582750	486300	586000
1982-05-29	585750	485800	588000
1982-06-05	592500	478600	611000
1982-06-12	599750	541600	614000
1982-06-19	601000	508100	591000
1982-06-26	599500	507700	582000
1982-07-03	596750	594400	600000
1982-07-10	586250	631400	572000
1982-07-17	580250	647000	567000
1982-07-24	568750	576100	536000
1982-07-31	570000	562600	605000
1982-08-07	578500	569200	606000
1982-08-14	596000	536400	637000
1982-08-21	619000	510400	628000
1982-08-28	629500	502300	647000
1982-09-04	640750	537600	651000
1982-09-11	641750	467700	641000
1982-09-18	654750	559500	680000
1982-09-25	660750	535000	671000
1982-10-02	671750	565600	695000
1982-10-09	674250	638100	651000
1982-10-16	668250	540300	656000
1982-10-23	656250	577600	623000
1982-10-30	641750	576800	637000
1982-11-06	626250	604800	589000
1982-11-13	612000	546700	599000
1982-11-20	600500	650400	577000
1982-11-27	594250	574100	612000
1982-12-04	586250	709400	557000
1982-12-11	569750	638200	533000
1982-12-18	554500	598000	516000
1982-12-25	523750	653600	489000
1983-01-01	518000	745100	534000
1983-01-08	512250	976600	510000
1983-01-15	503000	773600	479000
1983-01-22	500500	650600	479000
1983-01-29	492750	597700	503000
1983-02-05	490500	594200	501000
1983-02-12	492250	525100	486000
1983-02-19	494250	506300	487000
1983-02-26	488750	448700	481000
1983-03-05	487250	497400	495000
1983-03-12	484500	459700	475000
1983-03-19	480250	427500	470000
1983-03-26	480250	422100	481000
1983-04-02	479250	423000	491000
1983-04-09	484500	509700	496000
1983-04-16	495750	464800	515000
1983-04-23	497500	431300	488000
1983-04-30	497250	399900	490000
1983-05-07	496750	435000	494000
1983-05-14	484000	385200	464000
1983-05-21	477000	380300	460000
1983-05-28	468000	373000	454000
1983-06-04	459250	351100	459000
1983-06-11	453750	390100	442000
1983-06-18	447250	369200	434000
1983-06-25	444250	383500	442000
1983-07-02	435000	397400	422000
1983-07-09	427500	451900	412000
1983-07-16	418000	459400	396000
1983-07-23	406250	428300	395000
1983-07-30	404500	383400	415000
1983-08-06	405250	382500	415000
1983-08-13	420500	382300	457000
1983-08-20	433000	356900	445000
