DATE	TREAST	WALCL
2015-12-23	2461566	4496523
2015-12-30	2461554	4486587
2016-01-06	2461505	4486606
2016-01-13	2461450	4501695
2016-01-20	2461396	4488840
2016-01-27	2461341	4482349
2016-02-03	2461269	4483495
2016-02-10	2461174	4486278
2016-02-17	2461080	4483629
2016-02-24	2461211	4489796
2016-03-02	2461152	4478485
2016-03-09	2461196	4481083
2016-03-16	2461239	4486333
2016-03-23	2461283	4492857
2016-03-30	2461326	4482840
2016-04-06	2461345	4484069
2016-04-13	2461368	4499729
2016-04-20	2461390	4490131
2016-04-27	2461413	4474665
2016-05-04	2461489	4477270
2016-05-11	2461605	4478411
2016-05-18	2461721	4473741
2016-05-25	2461637	4461111
2016-06-01	2461761	4461393
2016-06-08	2461897	4463542
2016-06-15	2462032	4472817
2016-06-22	2462168	4482009
2016-06-29	2462303	4466482
2016-07-06	2462427	4470605
2016-07-13	2462541	4472202
2016-07-20	2462652	4480973
2016-07-27	2462763	4464498
2016-08-03	2462865	4466793
2016-08-10	2462956	4468929
2016-08-17	2463447	4466476
2016-08-24	2463538	4473840
2016-08-31	2463645	4457907
2016-09-07	2463599	4459394
2016-09-14	2463553	4481635
2016-09-21	2463506	4473032
2016-09-28	2463460	4452002
2016-10-05	2463473	4459407
2016-10-12	2463497	4457698
2016-10-19	2463520	4467382
2016-10-26	2463544	4454326
2016-11-02	2463586	4453087
2016-11-09	2463654	4455087
2016-11-16	2463722	4453633
2016-11-23	2463801	4465782
2016-11-30	2463861	4446307
2016-12-07	2463496	4448618
2016-12-14	2463531	4470973
2016-12-21	2463566	4469089
2016-12-28	2463601	4451451
2017-01-04	2463591	4453101
2017-01-11	2463548	4452509
2017-01-18	2463504	4460758
2017-01-25	2463462	4452838
2017-02-01	2463426	4453881
2017-02-08	2463436	4456236
2017-02-15	2463446	4454676
2017-02-22	2463456	4468702
2017-03-01	2463488	4458018
2017-03-08	2463650	4459840
2017-03-15	2463812	4469577
2017-03-22	2463974	4478236
2017-03-29	2464335	4469618
2017-04-05	2464454	4474634
2017-04-12	2464546	4484492
2017-04-19	2464638	4479270
2017-04-26	2464730	4470142
2017-05-03	2464792	4471246
2017-05-10	2464815	4473459
2017-05-17	2464638	4467108
2017-05-24	2464660	4470852
2017-05-31	2464696	4459914
2017-06-07	2464783	4462443
2017-06-14	2464871	4476269
2017-06-21	2464958	4474257
2017-06-28	2465046	4463347
2017-07-05	2465096	4467272
2017-07-12	2465121	4466702
2017-07-19	2465145	4476903
2017-07-26	2465170	4465284
2017-08-02	2465195	4466846
2017-08-09	2465221	4469083
2017-08-16	2465247	4462871
2017-08-23	2465273	4463837
2017-08-30	2465300	4452360
2017-09-06	2465289	4453474
2017-09-13	2465468	4471174
2017-09-20	2465448	4458576
2017-09-27	2465427	4455661
2017-10-04	2465467	4460422
2017-10-11	2465554	4459415
2017-10-18	2465641	4469723
2017-10-25	2465727	4461117
2017-11-01	2459827	4455887
2017-11-08	2459985	4458552
2017-11-15	2456641	4448289
2017-11-22	2456822	4450615
2017-11-29	2456959	4438592
2017-12-06	2454474	4437148
2017-12-13	2454256	4452726
2017-12-20	2454237	4447470
2017-12-27	2454219	4448680
2018-01-03	2448208	4443718
2018-01-10	2448209	4446062
2018-01-17	2447009	4439145
2018-01-24	2447009	4441317
2018-01-31	2436211	4419225
2018-02-07	2436192	4420745
2018-02-14	2436173	4434863
2018-02-21	2432066	4411660
2018-02-28	2424242	4393401
2018-03-07	2424402	4396097
2018-03-14	2424562	4407258
2018-03-21	2424723	4401222
2018-03-28	2424883	4392198
2018-04-04	2413031	4386104
2018-04-11	2413060	4383684
2018-04-18	2413079	4385903
2018-04-25	2413218	4372886
2018-05-02	2395460	4356129
2018-05-09	2395528	4358207
2018-05-16	2386966	4337609
2018-05-23	2387035	4337301
2018-05-30	2387103	4327519
2018-06-06	2377872	4319191
2018-06-13	2377998	4324906
2018-06-20	2378124	4315896
2018-06-27	2378250	4305491
2018-07-04	2360377	4289764
